분야,사업내용,사업기간,직접수행,지자체보조,민간보조,출연,위탁,융자,지방비매칭,시행주체,지방비매칭여부,사업비,단위사업명,경비내역1,경비내역1사업비,경비내역2,경비내역2사업비,경비내역3,경비내역3사업비,경비내역4,경비내역4사업비,경비내역5,경비내역5사업비,경비내역6,경비내역6사업비,경비내역7,경비내역7사업비,경비내역8,경비내역8사업비,출처파일,매칭패턴,주요부처,사업비규모,사업유형,지역관련성,민간참여도,성과계획서매칭,해당_성과계획서_파일,PDF_매칭여부,PDF_사업명,PDF_예산_억원,PDF_예산_백만원,예산_검증상태,예산_오차율,PDF_출처페이지,예산_숫자,경북관련도점수,경북관련성_최종
,"출연연, 대학등의 연구성과 통합시스템구축",계속사업,N,N,N,Y,N,N,N,한국산업기술진흥협회,,"172,371,000천원",연구성과기술사,연구산업육성(R&D),"13,451,000천원",연구성과확산지,"10,130,000천원",과학치안공공연구성과실용화촉진시범사업(R&D),"1,260,000천원",학연 협력 플랫폼 구축 시범사업(R&D),"10,000,000천원",국산 연구장비 기술경쟁력 강화(R&D),"9,570,000천원",협력융합 과학기술사업화 촉진지원(R&D),"7,916,000천원",치안신산업 핵심기술 사업화 지원(R&D),"820,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,172371000,65.0,C급_정책참고
,"출연연, 대학등의 연구성과 통합시스템구축",계속사업,Y,N,N,Y,N,N,N,한국산업기술진흥협회,,"105,604,000천원",연구성과확산지,연구산업육성(R&D),"13,451,000천원",연구성과확산지,"10,130,000천원",과학치안공공연구성과실용화촉진시범사업(R&D),"1,260,000천원",학연 협력 플랫폼 구축 시범사업(R&D),"10,000,000천원",국산 연구장비 기술경쟁력 강화(R&D),"9,570,000천원",협력융합 과학기술사업화 촉진지원(R&D),"7,916,000천원",치안신산업 핵심기술 사업화 지원(R&D),"820,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,"직접수행, 출연",산업통상자원부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[21]2026년도 성과계획서_산업통상자원부.pdf,No,,0.0,0,,0.0,0,105604000,65.0,C급_정책참고
,"3D프린팅 활용확산지원, 전문역량 강화 및 산업생태계 조성 사 업",계속사업,N,N,N,Y,N,N,N,정보통신기획평가원,,"463,482,000천원",직할출연연구기,3D프린팅 산업육성 기반 구축,"4,551,000천원",직할출연연구기,"38,361,000천원",장(분야),150천원,과학기술,"463,482,000천원",000 관(부문),152천원,과학기술연구지원,"119,559,000천원",000 2200 출연연구기관지원,"119,559,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,No,,0.0,0,,0.0,0,463482000,65.0,C급_정책참고
,정보통신 융합 신기술의 보급 및 확산을 위해 실증단지 조성을 통 한 국가균형발전에 기여하는 사업,계속사업,Y,N,N,Y,N,N,N,"국가, 정보통신기획평가원",,"130,178,000천원",스마트화산업기,60Ghz 이하 대역,5천원,스마트화산업기,"6,520,000천원",G 전파 응용 서비스 활용 기반 조성(R,"530,000천원",&D) 관(부문),133천원,정보통신,"130,178,000천원",000 2000 인터넷융합산업,"6,520,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,과학기술정보통신부,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,매칭가능,[12]2026년도 성과계획서_과학기술정보통신부.pdf,Yes,스마트화산업기반확충(일반),111.956,111956,불일치,1062.76,339,130178000,65.0,C급_정책참고
,도시환경 불량지역 정비 개량(제주),계속사업,Y,Y,N,N,N,N,Y,지자체,45억원,"89,573,000천원",제주특별자치도계정 세 출 합 계,도시재생사업(제주),"16,375,000천원",산업단지진입도,"1,801,000천원",관(부문),143천원,산업단지,"1,801,000천원",000 6000 산업단지개발및지원,"1,801,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,직접수행,지자체,대규모(1000억원 이상),기타,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,89573000,64.0,C급_정책참고
,지방 과학문화시설 확충을 위한 BTL 방식의 과학관 건립 및 준공 과학관에 대한 임대료 지급,계속사업,N,Y,N,Y,N,N,Y,지자체,53억원,"409,393,000천원",국립과학관운영,BTL 전문과학관 지원,"5,498,000천원",국립과학관운영,"49,579,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,출연,지자체,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,409393000,60.0,C급_정책참고
,콘텐츠산업 성장 기반 조성 및 해외진출 지원체계 구축,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 민간, 신용기술보증기금, 한국벤처투자, 한국성장금 융투자운용",2.5억원,"365,559,000천원",문화산업정책개발 및 평가,문화산업정책개발 및 평가,"3,624,000천원",문화콘텐츠 투자활성화,"43,238,000천원",문화콘텐츠산업,"365,559,000천원",콘텐츠산업 생태계 조성,"63,214,000천원",K-콘텐츠 펀드 출자,"465,000,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",중소벤처기업부,대규모(1000억원 이상),R&D/연구개발,전국단위,관민협력(3자),매칭가능,[28]2026년도 성과계획서_중소벤처기업부.pdf,No,,0.0,0,,0.0,0,365559000,60.0,C급_정책참고
,"공연장 방화막 설치 지원, 대구국제뮤지컬페스티벌 개최지원, 연극 교육체험관 조성 지원 등",계속사업,N,Y,N,N,N,N,Y,지자체,66.15억원,"104,226,000천원",지역 공연예술 인프라 조성(자율),지역 공연예술 인프라 조성(자율),"6,615,000천원",박물관 정책 활,"26,621,000천원",2100 지역문화 진흥 및 문,"104,226,000천원",000 화기반 조성,1천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,104226000,60.0,C급_정책참고
,"종목별 생활체육경기장, 스포츠체험센터, 실내체육관 등 지역 생활 체육시설 조성 지원",계속사업,N,Y,N,N,N,N,Y,지자체,239.1억원,"122,063,000천원",기초생활체육 저변확산 지원,기초생활체육 저변확산 지원,"2,520,000천원",지역지원계정 세 출 합 계,"122,063,000천원",000 -,234천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,122063000,60.0,C급_정책참고
,세종 특화 관광자원 개발을 통한 지역관광 활성화,계속사업,N,Y,N,N,N,N,Y,지자체,10.42억원,"1,253,919,000천원",광역권 관광개발(세종),광역권 관광개발(세종),"1,042,000천원",관광산업 활성화,"58,000천원",4400 관광산업 활성화,"58,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1253919000,60.0,C급_정책참고
,농촌용수개발,계속사업,N,Y,Y,N,N,N,Y,"지자체, 민간",22억원,"209,745,000천원",농촌용수관리,농촌용수관리,"49,270,000천원",수리시설개보수,"747,803,000천원",다목적 용수개발,"209,745,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 민간보조, 지방비매칭",지자체,대규모(1000억원 이상),R&D/연구개발,일반,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,209745000,60.0,C급_정책참고
,친환경농산물 생산하고자 하는 생산자단체에 친환경농산물 생산ㆍ 가공ㆍ유통 관련 시설ㆍ장비 등 지원,계속사업,N,Y,N,N,N,N,Y,지자체,94억원,"699,558,000천원",친환경농업기반구축(자율),친환경농업기반구축(자율),"5,642,000천원",반려동물인프라,"3,050,000천원",3700 축산업진흥 및 동물,"3,050,000천원",000 복지향상,1천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,699558000,60.0,C급_정책참고
,농촌의 유휴시설을 리모델링하여 청년 또는 귀농귀촌인에게 창 업 및 사회서비스공간 제공,계속사업,N,Y,N,N,N,N,Y,지자체,23억원,"624,133,000천원",농촌유휴시설활용지역활성화,농촌유휴시설활용지역활성화,"2,270,000천원",농촌형교통모델,"28,991,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,624133000,60.0,C급_정책참고
,"농산어촌의 기초생활여건을 전략적, 체계적으로 정비하여 지역주 민의 기본적인 삶의 질 향상 등",계속사업,N,Y,N,N,N,N,Y,지자체,476억원,"971,472,000천원",일반농산어촌개발,일반농산어촌개발,"493,753,000천원",식품산업육성,"33,434,000천원",취약지역생활여건개조사업,"130,380,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,971472000,60.0,C급_정책참고
,사업 대상지에 지역화폐 제공 등 복지증진,계속사업,N,Y,Y,N,N,N,Y,"지자체, 민간",550억원,"856,221,000천원",농어촌 기본소득 시범사업,농어촌 기본소득 시범사업,"170,337,000천원",식품산업육성,"11,333,000천원",관(부문),104천원,000 -,"11,333,000천원",2800 식품외식산업육성,"11,333,000천원",6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,민간보조,지자체,대규모(1000억원 이상),R&D/연구개발,지역특화,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,856221000,60.0,C급_정책참고
,"농산어촌의 기초생활여건을 전략적, 체계적으로 정비하여 지역주 민의 기본적인 삶의 질 향상",계속사업,N,Y,Y,N,N,N,Y,지자체,6.6억원,"2,611,728,000천원",일반농산어촌개발(세종),일반농산어촌개발(세종),"716,000천원",농업인교육지원,"15,897,000천원",취약지역생활여건개조사업(세종),"593,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 민간보조, 지방비매칭",지자체,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,2611728000,60.0,C급_정책참고
,벤처기업 성장 촉진을 위한 인프라 지원,계속사업,Y,N,Y,Y,N,N,N,"국가, 민간, 벤처기업협회 등",,"3,017,774,000천원",벤처기업경쟁력강화,벤처기업경쟁력강화,"6,202,000천원",신용보증기관출,"140,000,000천원",벤처캐피탈선진화,"4,956,000천원",벤처투자종합관리시스템 구축(정보화),"881,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,중소벤처기업부,대규모(1000억원 이상),인프라/건설,전국단위,관민협력(2자),매칭가능,[28]2026년도 성과계획서_중소벤처기업부.pdf,No,,0.0,0,,0.0,0,3017774000,60.0,C급_정책참고
,중소기업의 연구인력 유입 촉진지원,계속사업,N,N,N,Y,N,N,N,중소기업기술정보진흥원 등,,"8,605,355,000천원",기타이자수입및재,중소기업연구인력지원(R&D),"34,065,000천원",기술개발지원(R,"10,593,000천원",관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,749) 중소벤처기업부 세 출 합 계,"8,605,355,000천원",000 -,119천원,공 급 망 안 정 화 특 별 회 계,1천원,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,중소벤처기업부,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭가능,[28]2026년도 성과계획서_중소벤처기업부.pdf,No,,0.0,0,,0.0,0,8605355000,60.0,C급_정책참고
,"지역보건의료기관(보건소, 보건지소 등)의 시설 및 장비 지원",계속사업,Y,Y,Y,N,N,N,Y,지자체,132억원,"2,824,280,000천원",농어촌보건소 등 이전신축(자율),농어촌보건소 등 이전신축(자율),"26,397,000천원",지역자율계정 세 출 합 계,"2,824,280,000천원",000 -,230천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,2824280000,60.0,C급_정책참고
,첨단의료복합단지 핵심인프라 조성,계속사업,N,Y,Y,N,N,N,Y,민간,31억원,"1,564,721,000천원",첨단의료복합단지조성(지역지원),첨단의료복합단지조성(지역지원),"44,732,000천원",720) 지역지원계정 세 출 합 계,"1,564,721,000천원",000 -,237천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"지자체보조, 지방비매칭",민간,대규모(1000억원 이상),인프라/건설,일반,민간주도,매칭어려움,,No,,0.0,0,,0.0,0,1564721000,60.0,C급_정책참고
,안정적인 용수공급 및 홍수피해예방,계속사업,Y,Y,N,N,N,N,Y,지자체 6. 지방비매칭  11억원,11억원,"1,569,337,000천원",소규모댐건설,소규모댐건설,"9,550,000천원",국가하천정비지,"1,138,699,000천원",5300 하천관리,"1,569,337,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1569337000,60.0,C급_정책참고
,국토의 생태가치 증진과 국가보호지역 관리를 위한 시설 설치,계속사업,N,Y,N,N,N,N,Y,지자체,662억원,"2,891,311,000천원",국토생태네트워크구축(자율),국토생태네트워크구축(자율),"57,630,000천원",습지보전관리(자율),"22,191,000천원",자연자원의 이용,"4,630,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,2891311000,60.0,C급_정책참고
,제주도의 자연환경보전시설 설치지원,계속사업,N,Y,N,N,N,N,Y,지자체,29억원,"193,545,000천원",자연환경 보전 및 관리(제주),자연환경 보전 및 관리(제주),"16,000,000천원",국토생태네트워크구축(제주),"2,727,000천원",자연자원의 이용,"354,000천원",습지보전관리(제주),"160,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,193545000,60.0,C급_정책참고
,"자치단체의 지역에 맞는 일자리 창출 지원, 지역고용 인프라 확충",계속사업,N,Y,N,N,N,N,Y,지자체,151억원,"157,208,000천원",과징금,지역산업맞춤형일자리지원(자율),"60,025,000천원",지역자율계정 세 출 합 계,"60,025,000천원",000 -,128천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,157208000,60.0,C급_정책참고
,교통사각지대의 교통소외 개선,계속사업,N,Y,N,N,N,N,Y,지자체,857.15억원,"106,736,000천원",국가지원지방도 건설,국가지원지방도 건설,"285,716,000천원",대중교통지원(지,"40,298,000천원",관(부문),126천원,물류등기타,"106,736,000천원",000 4500 광역교통정책,"77,917,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),인프라/건설,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,106736000,60.0,C급_정책참고
,동서남해안 및 내륙권 지역여건을 고려한 개발사업지원,계속사업,N,Y,N,N,N,N,Y,지자체,683.06억원,"485,008,000천원",해안및내륙권발전사업지원(자율),해안및내륙권발전사업지원(자율),"68,308,000천원",스마트시티지원(,"19,800,000천원",5600 도시정책,"485,008,000천원",000 -,287천원,관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,485008000,60.0,C급_정책참고
,"도시환경 불량지역 정비 개량(우리동네살리기, 취약지역 개조)",계속사업,N,Y,N,N,N,N,Y,지자체,526.2억원,"46,020,000천원",도시활력증진지역개발,도시활력증진지역개발,"78,050,000천원",수소도시기반구,"46,020,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),R&D/연구개발,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,46020000,60.0,C급_정책참고
,"콘텐츠 창제작지원, 지역콘텐츠 인프라 조성 등을 통한 지역콘텐 츠산업 균형발전 지원",계속사업,Y,Y,Y,N,N,N,Y,"국가, 민간",14억원,"23,746,000천원",지역콘텐츠산업 균형발전 지원,지역콘텐츠산업 균형발전 지원,"50,950,000천원",지역문화 진흥,"23,246,000천원",2100 지역문화 진흥 및 문,"23,746,000천원",000 화기반 조성,1천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),인프라/건설,지역특화,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,23746000,59.400000000000006,C급_정책참고
,지역 주력산업지원을 통한 지역경제 활성화,계속사업,N,Y,N,Y,N,N,Y,중소기업기술정보진흥원,27억원,"10,767,000천원",지역특화산업육성(제주),지역특화산업육성(제주),"4,613,000천원",전통시장활성화,"4,280,000천원",전통시장,"4,280,000천원",000 지원,1천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"지자체보조, 지방비매칭",중소벤처기업부,대규모(1000억원 이상),지원/보조,지역특화,공공주도,매칭가능,[28]2026년도 성과계획서_중소벤처기업부.pdf,No,,0.0,0,,0.0,0,10767000,57.599999999999994,C급_정책참고
,지역 농산업의 부가가치를 증진시켜 농가소득 증대 및 지역농산업 활성화,계속사업,N,Y,N,N,N,N,Y,지자체,51.28억원,"69,463,000천원",기타경상이전수입,지역농촌지도사,"60,732,000천원",지역자율),"5,128,000천원",2200 지역농업특성화,"60,732,000천원",000 -,513천원,관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),기타,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,69463000,56.0,C급_정책참고
,지역 농산업의 부가가치를 증진시켜 농가소득 증대 및 지역농산업 활성화,계속사업,N,Y,N,N,N,N,Y,지자체,51.28억원,"60,732,000천원",지역농촌지도사,지역농촌지도사,"60,732,000천원",지역자율),"5,128,000천원",2200 지역농업특성화,"60,732,000천원",000 -,513천원,관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),기타,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,60732000,56.0,C급_정책참고
,"국가유공자 공법단체 운영비, 지방보훈회관 건립지원 등",계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체, 민간",70억원,"769,324,000천원",보훈단체운영및선양활동등,보훈단체운영및선양활동등,"37,954,000천원",교통시설이용지,"21,776,000천원",지방보훈회관건립,"500,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 1권.txt,민간보조,국가기관,대규모(1000억원 이상),지원/보조,지역특화,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,769324000,55.00000000000001,C급_정책참고
,녹색기후기금 협력 지원,계속사업,Y,N,N,Y,N,N,N,국가,,"207,951,000천원",녹색기후기획사업,녹색기후기금 운영지원(ODA)(국고채무부담행위),"35,293,000천원",녹색기후기금 운영지원(ODA),"15,443,000천원",기후행동강화 지원(ODA),"21,417,000천원",국제금융기구 출,"207,951,000천원",녹색기후기획사업,"663,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 1권.txt,"직접수행, 출연",국가기관,대규모(1000억원 이상),지원/보조,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,207951000,55.00000000000001,C급_정책참고
,"청사 경비, 청소, 조리 업무 등 청사관리 운영",계속사업,Y,N,Y,N,N,N,N,"국가, 민주평화통일자문회의 지역협의회",,"3,550,101,000천원",자문위원 역량강화,자문위원 역량강화,"2,380,000천원",지역협의회 운영,"13,382,000천원",지역협의회 활동추진,"6,005,000천원",시설관리,"650,000천원",,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,직접수행,국가기관,대규모(1000억원 이상),교육/인재양성,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,3550101000,55.00000000000001,C급_정책참고
,지방시대위원회의 효율적 운영 지원을 통해 자치분권 및 지역균형 발전 핵심과제 추진 등,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 민간",147.45억원,"1,106,222,000천원",지방시대위원회운영,지방시대위원회운영,"1,496,000천원",자원봉사활성화,"17,820,000천원",관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,지역특화,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,1106222000,55.00000000000001,C급_정책참고
,지자체가 발행하는 지역사랑상품권 할인비용 일부 보조,계속사업,Y,Y,N,N,N,N,Y,"국가, 지자체",16억원,"1,109,210,000천원",지역사랑상품권 발행지원,지역사랑상품권 발행지원,"1,150,000,000천원",주민참여 지역문,"11,914,000천원",관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업) 관(부문),015천원,정부자원관리,"11,914,000천원",000 1900 정부혁신조직,"11,914,000천원",,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,1109210000,55.00000000000001,C급_정책참고
,국민자율안전의식 고취를 위한 의용소방대 활성화 및 소방보조인 력 운영 등,계속사업,Y,Y,N,Y,Y,N,Y,"국가, 지자체, 민간 6. 지방비매칭  39억원",39억원,"329,511,000천원",기타경상이전수입,의용소방대및소방의날행사지원,"550,000천원",소방공무원보건안전지원,"5,061,000천원",소방시설장비지,"13,243,000천원",소방보조인력양성및운영,"15,517,000천원",정책우수지역본부 지원,"130,000천원",국립소방병원 운영,"39,410,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 출연, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,지역특화,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,329511000,55.00000000000001,C급_정책참고
,종교화합 및 종교문화활동지원 등,계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체, 민간 6. 지방비매칭  778억원",778억원,"3,773,000,000천원",기타재산이자수입,종교문화활동지원,"22,675,000천원",문화콘텐츠산업,"575,076,000천원",전통종교문화유산보존,"27,370,000천원",종교문화시설건립,"32,708,000천원",법난심의위원회 운영,"210,000천원",재해복구비(종교),"8,462,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,지역특화,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,3773000000,55.00000000000001,C급_정책참고
,종교화합 및 종교문화활동지원 등,계속사업,Y,Y,Y,Y,N,N,Y,"국가, 지자체, 민간 6. 지방비매칭  778억원",778억원,"1,060,751,000천원",종교문화활동지원,종교문화활동지원,"22,675,000천원",문화콘텐츠산업,"575,076,000천원",전통종교문화유산보존,"27,370,000천원",종교문화시설건립,"32,708,000천원",법난심의위원회 운영,"210,000천원",재해복구비(종교),"8,462,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 출연, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,지역특화,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,1060751000,55.00000000000001,C급_정책참고
,잡지산업 육성을 위한 잡지산업 지원 및 국가기간통신사를 지원하 는 사업,계속사업,Y,Y,Y,N,N,N,Y,"국가, 민간",15억원,"119,882,000천원",미디어산업 기반구축,미디어산업 기반구축,"1,776,000천원",국가기간통신사 지원,"29,900,000천원",방송영상콘텐츠,"119,882,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),인프라/건설,전국단위,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,119882000,55.00000000000001,C급_정책참고
,농촌 고용인력 지원 사업,계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체, 민간",289억원,"167,438,000천원",농촌고용인력지원,농촌고용인력지원,"39,916,000천원",관(부문),202천원,귀농귀촌활성화,"7,232,000천원",6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),4천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,민간보조,국가기관,대규모(1000억원 이상),지원/보조,전국단위,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,167438000,55.00000000000001,C급_정책참고
,농업인 자녀 장학금 지원 등 복지증진,계속사업,Y,Y,Y,N,N,N,Y,"국가, 지자체, 민간",210억원,"168,270,000천원",농촌취약계층복지지원,농촌취약계층복지지원,"25,926,000천원",여성농업인 특수 건강검진,"9,640,000천원",농촌공간및정주,"168,270,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,전국단위,관민협력(3자),부분매칭,,No,,0.0,0,,0.0,0,168270000,55.00000000000001,C급_정책참고
,유류오염사고 피해보상 및 환경교육 실시,계속사업,Y,N,Y,N,N,N,N,"국가, 민간",,"432,968,000천원",방제선 건조 및 운영,방제선 건조 및 운영,"13,697,000천원",국립수산물품질,"1,222,000천원",해양오염사고 방지,"7,878,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,직접수행,국가기관,대규모(1000억원 이상),교육/인재양성,전국단위,관민협력(2자),부분매칭,,No,,0.0,0,,0.0,0,432968000,55.00000000000001,C급_정책참고
